ts,profile,symbol,side,signal_id,signal_ts,strategy_name,valid,entry_valid,add_valid,decision,block_reason,score,rs30,rs60,ema50,ema100,ema25d,ema50d,btc_return_30m,volatility,budget_multiplier,ladder_multiplier,macro_regime,external_valid,external_stale,external_spread_bps,planned_budget,planned_orders,planned_notional,placed_orders,filled_notional,realized_pnl_quote
1779690070,short,ATOM/USDT:USDT,short,short:ATOM/USDT:USDT:1779689940000:ema_pullback,1779689940000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.03680763,0.00466661,0.01951659,2.137193799196,2.121984705709,1.993560124050,1.924671403223,-0.00177401,0.00124997,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690070,short,ALGO/USDT:USDT,short,short:ALGO/USDT:USDT:1779689940000:ema_pullback,1779689940000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.02800225,-0.00033218,0.00521571,0.113852709276,0.113460987234,0.114097898435,0.110879538619,-0.00177401,0.00095866,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690070,short,POL/USDT:USDT,short,short:POL/USDT:USDT:1779689940000:ema_pullback,1779689940000,ema_pullback,1,0,0,entry_gate_checked,entry_signal_invalid,0.00043390,0.00100659,0.00138802,0.091183848503,0.091039253211,0.092649471321,0.092781727068,-0.00177401,0.00039080,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690071,short,TIA/USDT:USDT,short,short:TIA/USDT:USDT:1779689940000:ema_pullback,1779689940000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.05629438,-0.00787015,0.00229979,0.436439727488,0.433430208313,0.403464425567,0.380602353588,-0.00177401,0.00182834,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690071,short,HBAR/USDT:USDT,short,short:HBAR/USDT:USDT:1779689940000:ema_pullback,1779689940000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.00209651,-0.00024642,0.00070887,0.089104127431,0.088997401194,0.090028967916,0.089935532365,-0.00177401,0.00039757,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690071,short,XLM/USDT:USDT,short,short:XLM/USDT:USDT:1779689940000:ema_pullback,1779689940000,ema_pullback,1,0,0,entry_gate_checked,entry_signal_invalid,0.02739147,-0.00192683,-0.00041299,0.148673487191,0.148466318493,0.153651031797,0.158282385874,-0.00177401,0.00053416,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690071,short,SSV/USDT:USDT,short,short:SSV/USDT:USDT:1779689940000:ema_pullback,1779689940000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.01894506,-0.00356340,-0.00258873,2.623828942593,2.619663114990,2.688298977960,2.630464313379,-0.00177401,0.00120599,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690071,short,LPT/USDT:USDT,short,short:LPT/USDT:USDT:1779689940000:ema_pullback,1779689940000,ema_pullback,1,0,0,entry_gate_checked,entry_signal_invalid,0.00533949,0.00177401,0.00160734,2.038000000000,2.038000000000,2.105637222309,2.116730473915,-0.00177401,,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690071,short,ENA/USDT:USDT,short,short:ENA/USDT:USDT:1779689940000:ema_pullback,1779689940000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.00642822,-0.00541667,-0.00438848,0.100107178200,0.099884659285,0.107476763408,0.105883342988,-0.00177401,0.00088899,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690071,short,UNI/USDT:USDT,short,short:UNI/USDT:USDT:1779689940000:ema_pullback,1779689940000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.00607541,-0.00042815,0.00002130,3.404600727395,3.398756170388,3.481835576296,3.445535412937,-0.00177401,0.00072597,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690071,short,LDO/USDT:USDT,short,short:LDO/USDT:USDT:1779689940000:ema_pullback,1779689940000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.00001217,-0.00429099,-0.00272855,0.346153067948,0.345756273818,0.363750893255,0.361969205530,-0.00177401,0.00072400,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690072,short,ZRO/USDT:USDT,short,short:ZRO/USDT:USDT:1779689940000:ema_pullback,1779689940000,ema_pullback,1,0,0,entry_gate_checked,entry_signal_invalid,0.10314667,-0.00385595,-0.00591749,1.316546783089,1.314490920821,1.398186050755,1.523440456381,-0.00177401,0.00118473,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690072,short,ORCA/USDT:USDT,short,short:ORCA/USDT:USDT:1779689940000:ema_pullback,1779689940000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,,,,,,,,,,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690072,short,DYDX/USDT:USDT,short,short:DYDX/USDT:USDT:1779689940000:ema_pullback,1779689940000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.05569813,-0.00023201,0.00630376,0.149467415216,0.148849574790,0.147220957784,0.139015497586,-0.00177401,0.00096314,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690072,short,COMP/USDT:USDT,short,short:COMP/USDT:USDT:1779689940000:ema_pullback,1779689940000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,0.00162842,-0.00370000,-0.01079053,20.112144017748,20.115880751331,21.831645937978,21.468260416477,-0.00177401,0.00142232,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690072,short,AXS/USDT:USDT,short,short:AXS/USDT:USDT:1779689940000:ema_pullback,1779689940000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,0.00855407,-0.00573023,-0.00666999,1.159681605187,1.159841107493,1.228371167907,1.224907332939,-0.00177401,0.00061743,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690072,short,SAND/USDT:USDT,short,short:SAND/USDT:USDT:1779689940000:ema_pullback,1779689940000,ema_pullback,1,0,0,entry_gate_checked,entry_signal_invalid,0.01649370,-0.00058564,0.00079207,0.071201631938,0.071081753352,0.073853105775,0.074950844186,-0.00177401,0.00057517,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690118,short,SOL/USDT:USDT,short,short:SOL/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.00378567,-0.00159276,-0.00201681,85.856435223042,85.759207254754,86.763449367504,86.352956038988,-0.00187278,0.00050057,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690118,short,BNB/USDT:USDT,short,short:BNB/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.01547506,-0.00004320,0.00054525,659.829312750837,659.382335900931,646.430563843720,637.896561284983,-0.00187278,0.00034945,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690118,short,AVAX/USDT:USDT,short,short:AVAX/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.00447930,-0.00034846,0.00027420,9.277900757056,9.261912268670,9.367868280219,9.326550824355,-0.00187278,0.00054178,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690118,short,LINK/USDT:USDT,short,short:LINK/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.01469096,-0.00098170,-0.00021434,9.500967918179,9.485855799859,9.649916783854,9.502321628512,-0.00187278,0.00073507,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690118,short,DOT/USDT:USDT,short,short:DOT/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,0.00378791,-0.00463673,-0.00304691,1.261031806976,1.258705196345,1.273204872674,1.270651809673,-0.00187278,0.00082096,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690118,short,BCH/USDT:USDT,short,short:BCH/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,1,0,0,entry_gate_checked,entry_signal_invalid,0.06525019,0.00207292,0.00382949,349.588565513995,348.817788402625,403.742349104350,423.356743538723,-0.00187278,0.00050648,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690118,short,ETC/USDT:USDT,short,short:ETC/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.01789176,-0.00038965,0.00043421,8.975114369447,8.959707506845,8.941355856942,8.787865851733,-0.00187278,0.00052770,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690118,short,TON/USDT:USDT,short,short:TON/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.07076983,-0.01006520,-0.00541163,1.818202824556,1.811562385974,1.884672810033,1.729606938994,-0.00187278,0.00176034,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690118,short,APT/USDT:USDT,short,short:APT/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.01072995,-0.00199853,0.00043470,0.955462537906,0.953039623985,0.975184748107,0.965001955714,-0.00187278,0.00083953,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690118,short,OP/USDT:USDT,short,short:OP/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.02641148,-0.00284050,-0.00087694,0.127409814581,0.127138440662,0.132226151038,0.128259266234,-0.00187278,0.00085953,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690118,short,NEAR/USDT:USDT,short,short:NEAR/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.09421657,0.00904732,-0.00187605,2.381777976850,2.375658986435,1.722456908455,1.553208440173,-0.00187278,0.00186050,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690118,short,SEI/USDT:USDT,short,short:SEI/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.02698430,-0.00152721,0.00213141,0.061833659279,0.061661201715,0.061952363704,0.060317160249,-0.00187278,0.00088052,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690118,short,FIL/USDT:USDT,short,short:FIL/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.02007529,-0.00330054,-0.00162472,0.966385652000,0.964743270210,0.989507113043,0.965390080371,-0.00187278,0.00072322,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690118,short,ATOM/USDT:USDT,short,short:ATOM/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.03675796,0.00574848,0.02025287,2.137527375698,2.122454315497,1.993560124050,1.924671403223,-0.00187278,0.00123695,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690118,short,ALGO/USDT:USDT,short,short:ALGO/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.02793997,0.00011531,0.00315494,0.113846720677,0.113465720160,0.114097898435,0.110879538619,-0.00187278,0.00096612,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690118,short,POL/USDT:USDT,short,short:POL/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,1,0,0,entry_gate_checked,entry_signal_invalid,0.00048358,0.00022759,0.00038538,0.091180560327,0.091040456118,0.092649471321,0.092781727068,-0.00187278,0.00040677,1.00000000,1.00000000,neutral,,,,,0,,0,,
1779690119,short,TIA/USDT:USDT,short,short:TIA/USDT:USDT:1779690000000:ema_pullback,1779690000000,ema_pullback,0,0,0,entry_gate_checked,entry_signal_invalid,-0.05616487,-0.01215850,0.00009359,0.436253855822,0.433395946763,0.403464425567,0.380602353588,-0.00187278,0.00188315,1.00000000,1.00000000,neutral,,,,,0,,0,,
